iter	Passed	Remaining
532	5863	16137
533	5871	16119
534	5878	16097
535	5882	16066
536	5893	16056
537	5901	16037
538	5908	16016
539	5915	15994
540	5922	15971
541	5931	15956
542	5938	15935
543	5947	15917
544	5956	15900
545	5964	15882
546	5972	15863
547	5980	15845
548	5988	15827
549	5995	15806
550	6002	15785
551	6010	15766
552	6019	15750
553	6026	15729
554	6034	15712
555	6045	15700
556	6053	15682
557	6061	15663
558	6067	15641
559	6075	15622
560	6081	15599
561	6089	15581
562	6099	15567
563	6107	15549
564	6114	15530
565	6123	15513
566	6129	15491
567	6136	15470
568	6143	15449
569	6152	15434
570	6157	15408
571	6168	15399
572	6178	15386
573	6185	15366
574	6193	15348
575	6201	15330
576	6208	15311
577	6217	15296
578	6225	15279
579	6233	15261
580	6241	15244
581	6249	15227
582	6259	15212
583	6266	15194
584	6276	15182
585	6282	15159
586	6292	15145
587	6300	15128
588	6307	15110
589	6318	15099
590	6322	15074
591	6331	15059
592	6338	15039
593	6346	15023
594	6356	15008
595	6364	14993
596	6372	14975
597	6382	14963
598	6390	14946
599	6399	14931
600	6406	14913
601	6413	14894
602	6421	14876
603	6428	14858
604	6439	14848
605	6451	14840
606	6459	14823
607	6467	14806
608	6474	14787
609	6481	14769
610	6488	14750
611	6493	14727
612	6500	14709
613	6509	14695
614	6516	14674
615	6521	14651
616	6529	14636
617	6538	14620
618	6546	14605
619	6554	14588
620	6563	14573
621	6571	14559
622	6578	14539
623	6584	14520
624	6593	14506
625	6603	14494
626	6612	14481
627	6620	14463
628	6630	14452
629	6638	14437
630	6645	14418
631	6654	14403
632	6664	14393
633	6673	14378
634	6680	14361
635	6687	14342
636	6697	14330
637	6706	14316
638	6715	14303
639	6724	14289
640	6731	14271
641	6740	14257
642	6748	14242
643	6757	14227
644	6765	14212
645	6772	14194
646	6775	14168
647	6784	14155
648	6791	14137
649	6801	14126
650	6810	14113
651	6820	14101
652	6828	14084
653	6834	14066
654	6842	14050
655	6846	14026
656	6852	14006
657	6862	13996
658	6870	13981
659	6872	13954
660	6882	13942
661	6891	13928
662	6899	13913
663	6908	13899
664	6917	13886
665	6921	13862
666	6931	13852
667	6939	13838
668	6950	13827
669	6957	13810
670	6965	13796
671	6976	13786
672	6983	13770
673	6991	13754
674	7000	13740
675	7010	13731
676	7019	13718
677	7029	13705
678	7033	13682
679	7038	13663
680	7047	13649
681	7056	13636
682	7065	13623
683	7071	13605
684	7080	13592
685	7090	13580
686	7100	13569
687	7109	13556
688	7118	13544
689	7126	13530
690	7136	13519
691	7146	13507
692	7155	13495
693	7163	13480
694	7172	13467
695	7181	13454
696	7189	13439
697	7197	13425
698	7204	13409
699	7211	13393
700	7218	13376
701	7225	13360
702	7236	13351
703	7244	13336
704	7252	13322
705	7263	13312
706	7265	13287
707	7275	13276
708	7284	13264
709	7293	13252
710	7303	13241
711	7314	13232
712	7324	13221
713	7332	13207
714	7342	13196
715	7350	13181
716	7357	13166
717	7365	13151
718	7373	13137
719	7383	13126
720	7393	13114
721	7402	13102
722	7410	13088
723	7419	13075
724	7426	13060
725	7433	13043
726	7439	13027
727	7445	13009
728	7454	12997
729	7462	12983
730	7470	12968
731	7477	12952
732	7484	12936
733	7491	12921
734	7500	12908
735	7508	12895
736	7518	12884
737	7526	12870
738	7534	12856
739	7541	12841
740	7550	12828
741	7559	12816
742	7568	12803
743	7575	12789
744	7585	12777
745	7592	12763
746	7602	12752
747	7611	12739
748	7622	12731
749	7629	12716
750	7635	12699
751	7643	12684
752	7652	12672
753	7661	12659
754	7669	12646
755	7678	12635
756	7684	12618
757	7691	12602
758	7697	12586
759	7704	12570
760	7711	12555
761	7721	12545
762	7728	12529
763	7737	12517
764	7744	12502
765	7753	12490
766	7761	12477
767	7770	12465
768	7778	12451
769	7786	12438
770	7793	12422
771	7801	12410
772	7810	12397
773	7819	12386
774	7828	12373
775	7836	12360
776	7843	12346
777	7849	12329
778	7857	12315
779	7863	12299
780	7871	12285
781	7880	12273
782	7887	12259
783	7897	12248
784	7905	12235
785	7913	12222
786	7922	12210
787	7931	12199
788	7942	12190
789	7950	12177
790	7957	12162
791	7963	12146
792	7975	12138
793	7984	12127
794	7992	12114
795	8001	12103
796	8011	12092
797	8019	12078
798	8026	12065
799	8035	12053
800	8044	12042
801	8053	12030
802	8060	12015
803	8070	12004
804	8078	11991
805	8085	11977
806	8095	11967
807	8103	11955
808	8112	11942
809	8120	11930
810	8128	11916
811	8135	11902
812	8143	11889
813	8152	11877
814	8158	11862
815	8165	11848
816	8173	11835
817	8183	11825
818	8193	11815
819	8202	11803
820	8211	11791
821	8219	11779
822	8228	11767
823	8237	11756
824	8245	11743
825	8252	11729
826	8259	11715
827	8268	11703
828	8276	11691
829	8287	11681
830	8294	11668
831	8303	11656
832	8312	11645
833	8319	11630
834	8326	11617
835	8334	11604
836	8342	11592
837	8351	11580
838	8361	11570
839	8369	11558
840	8377	11544
841	8387	11535
842	8394	11521
843	8401	11507
844	8409	11495
845	8419	11484
846	8427	11471
847	8437	11461
848	8447	11451
849	8455	11439
850	8463	11426
851	8471	11415
852	8480	11403
853	8489	11391
854	8497	11379
855	8503	11364
856	8512	11353
857	8521	11341
858	8528	11327
859	8535	11314
860	8542	11300
861	8550	11288
862	8557	11274
863	8566	11262
864	8574	11251
865	8581	11237
866	8587	11222
867	8595	11209
868	8601	11195
869	8609	11182
870	8615	11167
871	8623	11155
872	8629	11140
873	8637	11128
874	8646	11116
875	8653	11103
876	8660	11089
877	8668	11077
878	8674	11062
879	8681	11049
880	8689	11036
881	8698	11025
882	8705	11012
883	8713	11000
884	8723	10990
885	8730	10977
886	8738	10965
887	8746	10952
888	8752	10937
889	8759	10925
890	8767	10912
891	8774	10899
892	8783	10888
893	8792	10877
894	8801	10866
895	8809	10854
896	8816	10841
897	8823	10828
898	8830	10814
899	8839	10803
900	8848	10792
901	8854	10779
902	8861	10765
903	8868	10751
904	8874	10737
905	8881	10724
906	8888	10711
907	8896	10698
908	8902	10685
909	8910	10672
910	8917	10660
911	8925	10647
912	8934	10637
913	8941	10624
914	8949	10612
915	8958	10601
916	8966	10590
917	8973	10576
918	8981	10564
919	8989	10553
920	8997	10540
921	9005	10528
922	9012	10515
923	9019	10503
924	9028	10492
925	9036	10480
926	9044	10469
